id,datetime,X_coordinate,Y_coordinate
1,2024-03-23 17:44:45.422079,400,200
2,2024-03-23 17:46:24.005544,500,300
3,2024-03-23 17:46:26.109548,500,300
4,2024-03-23 21:20:23.014368,100,300
5,2024-03-23 21:20:32.603254,100,300
6,2024-03-23 21:21:43.101913,100,300
7,2024-03-23 21:21:47.156882,100,300
8,2024-03-23 21:23:19.843780,100,300
